fj_id,bp_id,fma_id,name,faces,verts,bytes,mtime
FJ1228,BP23488,FMA32672,Sesamoid bone of right foot,80,73,6514,1779787484
FJ1232,BP23488,FMA32672,Sesamoid bone of right foot,158,104,10285,1779787484
FJ1245,BP23872,FMA23724,Right trapezoid,360,269,25941,1779787484
FJ1252,BP21475,FMA55268,Maxillary gingiva,1848,1115,120586,1779787484
FJ1253,BP21460,FMA55268,Mandibular gingiva,1918,1029,117146,1779787484
FJ1254,BP20238,FMA12516,Left first lower molar tooth,1762,885,103401,1779787484
FJ1255,BP23586,FMA12516,Left first lower premolar tooth,1176,592,68776,1779787484
FJ1256,BP23842,FMA12516,Left second lower molar tooth,1616,823,95349,1779787484
FJ1257,BP23362,FMA12516,Left second lower premolar tooth,1122,566,65575,1779787484
FJ1258,BP20208,FMA12516,Left lower central incisor tooth,918,461,53593,1779787484
FJ1259,BP20093,FMA12516,Left lower lateral incisor tooth,960,483,55882,1779787484
FJ1260,BP23457,FMA12516,Left lower canine tooth,1180,592,68838,1779787484
FJ1261,BP20252,FMA12516,Left first upper molar tooth,2156,1084,127629,1779787484
FJ1262,BP23649,FMA12516,Left first upper premolar tooth,1610,818,94899,1779787484
FJ1263,BP21638,FMA12516,Left second upper molar tooth,1848,949,109684,1779787484
FJ1264,BP23393,FMA12516,Left second upper premolar tooth,1466,748,86531,1779787484
FJ1265,BP21643,FMA12516,Left upper central incisor tooth,1288,646,75378,1779787484
FJ1266,BP20094,FMA12516,Left upper lateral incisor tooth,1378,691,80596,1779787484
FJ1267,BP23596,FMA12516,Left upper canine tooth,1392,698,81373,1779787484
FJ1268,BP20173,FMA12516,Right first lower molar tooth,1762,889,104433,1779787484
FJ1269,BP23752,FMA12516,Right first lower premolar tooth,1180,592,69417,1779787484
FJ1270,BP23827,FMA12516,Right second lower molar tooth,1620,818,95888,1779787484
FJ1271,BP23728,FMA12516,Right second lower premolar tooth,1124,567,66262,1779787484
FJ1272,BP20165,FMA12516,Right lower central incisor tooth,920,463,53982,1779787484
FJ1273,BP23835,FMA12516,Right lower lateral incisor tooth,958,486,56467,1779787484
FJ1274,BP23629,FMA12516,Right lower canine tooth,1178,591,69255,1779787484
FJ1275,BP19601,FMA12516,Right second upper molar tooth,1850,961,111297,1779787484
FJ1276,BP20230,FMA12516,Right first upper molar tooth,2156,1099,129771,1779787484
FJ1277,BP23473,FMA12516,Right first upper premolar tooth,1610,816,95516,1779787484
FJ1278,BP23721,FMA12516,Right second upper premolar tooth,1466,748,87248,1779787484
FJ1279,BP22758,FMA12516,Right upper central incisor tooth,1288,647,75981,1779787484
FJ1280,BP23883,FMA12516,Right upper lateral incisor tooth,1368,686,80638,1779787484
FJ1281,BP23581,FMA12516,Right upper canine tooth,1392,698,82111,1779787484
FJ1282,BP22809,FMA14065,Anterior chamber of left eyeball,3064,1535,187142,1779787484
FJ1283,BP21112,FMA11195,Left anterior ethmoidal nerve,290,169,17753,1779787484
FJ1284,BP21339,FMA14065,Check ligament of left lateral rectus,2774,1406,168672,1779787484
FJ1285,BP21432,FMA265400,Left choroid,28918,15355,1977341,1779787484
FJ1286,BP21432,FMA265400,Left choroid,6704,3865,453062,1779787484
FJ1287,BP21878,FMA225818,Left corona ciliaris,17858,17414,1669668,1779787484
FJ1288,BP21701,FMA11195,Left ciliary ganglion,180,94,9970,1779787484
FJ1289,BP23245,FMA14065,Left cornea,4602,2824,318256,1779787484
FJ1290,BP20367,FMA11195,Left frontal nerve,1258,631,73464,1779787484
FJ1291,BP22562,FMA42603,Left common tendinous ring,738,410,45029,1779787484
FJ1292,BP21474,FMA14065,Check ligament of left medial rectus,3090,1574,189980,1779787484
FJ1293,BP20304,FMA11195,Inferior branch of left oculomotor nerve,1654,1286,124949,1779787484
FJ1294,BP20086,FMA46751,Left inferior oblique,2360,1217,142952,1779787484
FJ1295,BP23920,FMA46751,Left inferior rectus,3560,1858,223746,1779787484
FJ1296,BP22715,FMA11195,Left infratrochlear nerve,250,138,14611,1779787484
FJ1297,BP21315,FMA265400,Left iris,3286,1716,206095,1779787484
FJ1298,BP23016,FMA58245,Left lacrimal canaliculus,634,371,39860,1779787484
FJ1299,BP22882,FMA55661,Left lacrimal gland,1768,903,104463,1779787484
FJ1300,BP20380,FMA11195,Left lacrimal nerve,1944,1014,116432,1779787484
FJ1301,BP23073,FMA5897,Left lacrimal lake,248,126,13791,1779787484
FJ1302,BP22866,FMA59556,Left nasolacrimal duct,444,227,25549,1779787484
FJ1304,BP20317,FMA46751,Left lateral rectus,3316,1745,208678,1779787485
FJ1305,BP20506,FMA14065,Left lens,1606,805,94037,1779787484
FJ1306,BP19569,FMA46751,Left levator palpebrae superioris,4360,2353,281532,1779787484
FJ1308,BP20046,FMA46751,Left medial rectus,2576,1353,159339,1779787485
FJ1309,BP23015,FMA20289,Left lacrimal sac,382,193,21700,1779787484
FJ1310,BP20818,FMA11195,Left nasociliary nerve,834,503,53525,1779787484
FJ1311,BP21151,FMA11195,Communicating branch of left nasociliary nerve with left ciliary ganglion,230,164,15670,1779787485
FJ1315,BP21490,FMA11195,Left posterior ethmoidal nerve,222,151,14669,1779787484
FJ1316,BP21429,FMA225818,Optic part of left retina,23410,11721,1533035,1779787485
FJ1317,BP23104,FMA14065,Left sclera,39504,20372,2712376,1779787484
FJ1318,BP22719,FMA11195,Left long ciliary nerve,294,202,19777,1779787484
FJ1319,BP21577,FMA45638,Short ciliary nerve,602,461,44106,1779787484
FJ1320,BP22619,FMA14065,Suspensory ligament of left lens,7256,6332,620788,1779787485
FJ1321,BP20060,FMA11195,Superior branch of left oculomotor nerve,810,611,58952,1779787484
FJ1322,BP20102,FMA46751,Left superior oblique,3604,1881,226915,1779787484
FJ1323,BP20117,FMA46751,Left superior rectus,2836,1527,178730,1779787484
FJ1324,BP23204,FMA55665,Tarsal plate of left upper eyelid,1484,748,87238,1779787484
FJ1326,BP21030,FMA11195,Left supratrochlear nerve,2358,1222,143270,1779787484
FJ1328,BP23078,FMA55665,Tarsal plate of left lower eyelid,1034,525,60672,1779787484
FJ1329,BP23123,FMA21496,Trochlea of left superior oblique,422,231,25180,1779787485
FJ1331,BP21457,FMA19783,Left vitreous body,5448,2764,344465,1779787485
FJ1332,BP22879,FMA14065,Anterior chamber of right eyeball,3014,1509,185241,1779787484
FJ1333,BP23799,FMA11195,Right anterior ethmoidal nerve,236,154,15371,1779787484
FJ1334,BP20747,FMA14065,Check ligament of right lateral rectus,2800,1445,173733,1779787484
FJ1335,BP24034,FMA14065,Check ligament of right medial rectus,3112,1629,195614,1779787484
FJ1336,BP21434,FMA265400,Right choroid,6714,3915,460220,1779787484
FJ1337,BP21434,FMA265400,Right choroid,28872,15685,2012224,1779787484
FJ1338,BP21425,FMA225818,Right corona ciliaris,22692,20346,2050170,1779787484
FJ1339,BP21634,FMA11195,Right ciliary ganglion,246,125,13784,1779787484
FJ1340,BP23300,FMA14065,Right cornea,4606,3091,336755,1779787484
FJ1341,BP20449,FMA11195,Right frontal nerve,1258,631,74093,1779787484
FJ1342,BP22934,FMA42603,Right common tendinous ring,740,422,46228,1779787484
FJ1343,BP21501,FMA14065,Tendon of right levator palpebrae superioris,2764,1787,193761,1779787484
