fma_id,fj_id,bp_id,name,system,method,vertices,faces,path,data_version
FMA45097,FJ1228,BP23488,Sesamoid bone of right foot,bone,name,73,80,internal_meshes/bone/FJ1228_BP23488_FMA45097_Sesamoid bone of right foot.obj,4.3
FMA45097,FJ1232,BP23488,Sesamoid bone of right foot,bone,name,104,158,internal_meshes/bone/FJ1232_BP23488_FMA45097_Sesamoid bone of right foot.obj,4.3
FMA23725,FJ1245,BP23964,Right trapezoid,bone,name,269,360,internal_meshes/bone/FJ1245_BP23964_FMA23725_Right trapezoid.obj,4.3
FMA59763,FJ1252,BP21475,Maxillary gingiva,organ,name,1115,1848,internal_meshes/organ/FJ1252_BP21475_FMA59763_Maxillary gingiva.obj,4.3
FMA59764,FJ1253,BP22022,Mandibular gingiva,organ,name,1029,1918,internal_meshes/organ/FJ1253_BP22022_FMA59764_Mandibular gingiva.obj,4.3
FMA55704,FJ1254,BP20238,Left first lower molar tooth,organ,name,885,1762,internal_meshes/organ/FJ1254_BP20238_FMA55704_Left first lower molar tooth.obj,4.3
FMA55693,FJ1255,BP23586,Left first lower premolar tooth,organ,name,592,1176,internal_meshes/organ/FJ1255_BP23586_FMA55693_Left first lower premolar tooth.obj,4.3
FMA55703,FJ1256,BP23842,Left second lower molar tooth,organ,name,823,1616,internal_meshes/organ/FJ1256_BP23842_FMA55703_Left second lower molar tooth.obj,4.3
FMA55692,FJ1257,BP23362,Left second lower premolar tooth,organ,name,566,1122,internal_meshes/organ/FJ1257_BP23362_FMA55692_Left second lower premolar tooth.obj,4.3
FMA57143,FJ1258,BP20208,Left lower central incisor tooth,organ,name,461,918,internal_meshes/organ/FJ1258_BP20208_FMA57143_Left lower central incisor tooth.obj,4.3
FMA57141,FJ1259,BP20093,Left lower lateral incisor tooth,organ,name,483,960,internal_meshes/organ/FJ1259_BP20093_FMA57141_Left lower lateral incisor tooth.obj,4.3
FMA55687,FJ1260,BP23457,Left lower canine tooth,organ,name,592,1180,internal_meshes/organ/FJ1260_BP23457_FMA55687_Left lower canine tooth.obj,4.3
FMA55699,FJ1261,BP20252,Left first upper molar tooth,organ,name,1084,2156,internal_meshes/organ/FJ1261_BP20252_FMA55699_Left first upper molar tooth.obj,4.3
FMA55690,FJ1262,BP23649,Left first upper premolar tooth,organ,name,818,1610,internal_meshes/organ/FJ1262_BP23649_FMA55690_Left first upper premolar tooth.obj,4.3
FMA55700,FJ1263,BP21638,Left second upper molar tooth,organ,name,949,1848,internal_meshes/organ/FJ1263_BP21638_FMA55700_Left second upper molar tooth.obj,4.3
FMA55691,FJ1264,BP23393,Left second upper premolar tooth,organ,name,748,1466,internal_meshes/organ/FJ1264_BP23393_FMA55691_Left second upper premolar tooth.obj,4.3
FMA55682,FJ1265,BP21643,Left upper central incisor tooth,organ,name,646,1288,internal_meshes/organ/FJ1265_BP21643_FMA55682_Left upper central incisor tooth.obj,4.3
FMA55683,FJ1266,BP20094,Left upper lateral incisor tooth,organ,name,691,1378,internal_meshes/organ/FJ1266_BP20094_FMA55683_Left upper lateral incisor tooth.obj,4.3
FMA55799,FJ1267,BP23596,Left upper canine tooth,organ,name,698,1392,internal_meshes/organ/FJ1267_BP23596_FMA55799_Left upper canine tooth.obj,4.3
FMA55705,FJ1268,BP20173,Right first lower molar tooth,organ,name,889,1762,internal_meshes/organ/FJ1268_BP20173_FMA55705_Right first lower molar tooth.obj,4.3
FMA55694,FJ1269,BP23752,Right first lower premolar tooth,organ,name,592,1180,internal_meshes/organ/FJ1269_BP23752_FMA55694_Right first lower premolar tooth.obj,4.3
